Post-molt,Pre-molt,Location
127.7,113.6,Field
133.2,118.1,Field
135.3,119.9,Field
143.3,126.2,Field
139.3,126.7,Field
140.2,127.3,Field
143.8,128.2,Field
144.6,129.5,Field
147.6,130.5,Field
144.8,131.6,Field
146.8,131.7,Field
145.9,132.2,Field
151,132.4,Field
148.7,132.8,Field
147.8,132.8,Field
148.3,133.6,Field
149.2,133.8,Field
149,134.1,Field
149.2,134.3,Field
148.7,134.6,Field
149,135.2,Field
151.1,135.2,Field
150.4,135.5,Field
149.4,135.6,Field
150,136.1,Field
151,136.2,Field
150,136.3,Field
150.7,136.4,Field
147.6,136.7,Field
151.9,136.8,Field
151.5,136.9,Field
151.1,137.3,Field
151,137.4,Field
151.8,137.6,Field
150.9,137.6,Field
150,137.6,Field
154,138,Field
152.6,138.2,Field
152.6,138.3,Field
152.6,138.3,Field
151.1,138.3,Field
151.4,138.5,Field
155,138.9,Field
151.8,139.2,Field
154.2,139.5,Field
154,139.5,Field
151.9,140,Field
155.5,140.1,Field
155.9,140.2,Field
153.1,140.3,Field
155.4,140.3,Field
154.2,140.6,Field
153,140.7,Field
151.7,141,Field
153.4,141.3,Field
154,141.3,Field
155.6,141.3,Field
156.2,141.3,Field
155.6,141.5,Field
154.3,142,Field
158.2,142,Field
155.6,142.3,Field
156.5,142.3,Field
157.3,142.4,Field
155.8,142.7,Field
156.6,142.9,Field
155.9,143,Field
156.6,143.1,Field
155,143.5,Field
158.2,143.6,Field
158.7,143.7,Field
155.9,143.7,Field
159.1,143.7,Field
155.6,143.9,Field
158.6,144,Field
154.3,144.5,Field
161.6,144.6,Field
157,144.6,Field
154.6,144.7,Field
157.9,145,Field
160,145.2,Field
159.9,145.4,Field
157.1,145.4,Field
159.9,145.7,Field
157,145.7,Field
159.6,145.7,Field
160.6,145.9,Field
155.6,146,Field
159.6,147.2,Field
162.7,147.4,Field
158.3,147.6,Field
160.1,148,Field
163.7,148.1,Field
163.2,148.1,Field
164.7,151,Field
163.5,151.2,Field
166.5,153.9,Field
130.8,115.6,Field
141.6,123,Field
142.5,124.4,Field
147.5,136.1,Field
151.4,136.9,Field
154.2,138.6,Field
152.3,139.7,Field
159.5,139.8,Field
156.6,141.3,Field
154.6,143.7,Field
157.8,144.2,Field
161.7,146.4,Field
160.6,147.8,Field
156,147.9,Field
154.8,142.3,Lab
142.5,125.1,Lab
154.9,140.8,Lab
136.5,122.4,Lab
146.6,133.2,Lab
151.5,138.9,Lab
154.4,143.1,Lab
152.2,139.7,Lab
155.3,140.4,Lab
133.3,116.6,Lab
149.7,137.4,Lab
157.5,143,Lab
155.3,143.2,Lab
152.9,140.8,Lab
154.3,140.7,Lab
143.1,130.8,Lab
145.2,131.8,Lab
135.4,120.6,Lab
153.5,140.1,Lab
148.9,133,Lab
139.1,122.9,Lab
155.4,143,Lab
154.7,139.5,Lab
149.5,137.5,Lab
151.5,136.7,Lab
160.1,145.9,Lab
153.2,143.1,Lab
142,128.5,Lab
153.8,141.1,Lab
164.9,150.9,Lab
155.7,144.6,Lab
155.8,143.3,Lab
158.9,146.5,Lab
155.2,143.5,Lab
164.1,150.2,Lab
161.3,148.3,Lab
156.7,143.1,Lab
148.2,135.7,Lab
156.5,143.4,Lab
147.8,133,Lab
157.7,143.2,Lab
149.1,137,Lab
151.5,140.8,Lab
146.7,132.8,Lab
148.5,134.7,Lab
156.6,142.4,Lab
155,141.2,Lab
129.5,111.9,Lab
101.4,84.3,Lab
128.9,109.8,Lab
101.9,83.8,Lab
105.1,86.1,Lab
114.8,92,Lab
91.5,71.4,Lab
96.4,77.9,Lab
94.5,75.2,Lab
131.1,113.1,Lab
93.8,71.4,Lab
101.3,81.4,Lab
95.5,74.8,Lab
82.3,62.7,Lab
97.2,75.8,Lab
92.1,74.2,Lab
96.3,72.4,Lab
104.6,83.6,Lab
38.8,31.1,Lab
51.8,40.5,Lab
110.2,88.3,Lab
120,98.2,Lab
121.9,102.1,Lab
134.8,116.1,Lab
148,135.6,Lab
158.2,143.2,Lab
154.8,142.9,Lab
141.8,123.4,Lab
141.6,125.5,Lab
146.6,129.5,Lab
133.8,120.1,Lab
136.5,122.5,Lab
140.9,123.3,Lab
140.4,127.8,Lab
148.5,134.7,Lab
145.8,128.6,Lab
142.8,124.2,Lab
142.4,125.5,Lab
149.1,131.4,Lab
149.5,136.1,Lab
127.6,110.6,Lab
136.2,122.3,Lab
145.8,134.1,Lab
154.2,138.3,Lab
147.1,133.3,Lab
159.4,149.8,Lab
162.6,149.2,Lab
151.5,142.5,Lab
118,104.6,Lab
145.5,127.1,Lab
148.2,129.8,Lab
135.9,121.1,Lab
136.1,119.2,Lab
128.6,110.9,Lab
139.8,122.5,Lab
136.7,119.3,Lab
135.1,118.2,Lab
149,137.5,Lab
163.7,148.9,Lab
149.8,131.3,Lab
143.2,126.9,Lab
143.2,129.3,Lab
157,144.3,Lab
152.7,137.2,Lab
153.6,139,Lab
140.6,123.3,Lab
151.7,138.4,Lab
132,111.7,Lab
132.5,117.2,Lab
154.5,142,Lab
143.3,130,Lab
138.1,122.3,Lab
126.7,114.7,Lab
132.4,119.3,Lab
149.3,131.7,Lab
139.3,120.3,Lab
151.5,136.2,Lab
166.8,154.5,Lab
126.8,109.5,Lab
152.1,139.2,Lab
126.9,108.3,Lab
145.4,128.5,Lab
156.3,144.5,Lab
142.7,123.3,Lab
132.9,117.7,Lab
137.9,119.7,Lab
126.1,113.6,Lab
160.4,148.2,Lab
166.2,155.1,Lab
145.4,131,Lab
144.3,132.2,Lab
156.8,144.9,Lab
131.2,112.5,Lab
140.8,124.1,Lab
130.8,113.9,Lab
149.7,135.5,Lab
156.7,142.4,Lab
136.1,121.3,Lab
150.1,136.7,Lab
140.7,122,Lab
139.4,125.6,Lab
160.1,149.9,Lab
138.2,123.3,Lab
148.6,133.6,Lab
152,138.8,Lab
128.2,110.7,Lab
126.7,111.5,Lab
142.5,124.8,Lab
139.7,126.2,Lab
151.8,138.6,Lab
141.1,125.2,Lab
140.7,126.2,Lab
157.5,145.1,Lab
143.8,126,Lab
127.7,110.5,Lab
155.2,140.5,Lab
146.9,128.6,Lab
125,103.9,Lab
133.5,118.9,Lab
144.4,131,Lab
154.6,141.4,Lab
154.4,139.2,Lab
138.6,119.8,Lab
133.7,115,Lab
153.2,139.8,Lab
159.1,144.5,Lab
149.5,134.7,Lab
144.7,126.1,Lab
